year,start,flag1,team1,flag2,team2,score1,score2,round,OT,pos,pso1,pso2
2002,2002-06-02,arg,Argentina,nga,Nigeria,1,0,Round 1 - Group F,N,N,,
2002,2002-06-07,swe,Sweden,nga,Nigeria,2,1,Round 1 - Group F,N,N,,
2002,2002-06-07,arg,Argentina,eng,England,0,1,Round 1 - Group F,N,N,,
2002,2002-06-12,swe,Sweden,arg,Argentina,1,1,Round 1 - Group F,N,N,,
2002,2002-06-12,nga,Nigeria,eng,England,0,0,Round 1 - Group F,N,N,,
2002,2002-06-03,cro,Croatia,mex,Mexico,0,1,Round 1 - Group G,N,N,,
2002,2002-06-03,ita,Italy,ecu,Ecuador,2,0,Round 1 - Group G,N,N,,
2002,2002-06-08,ita,Italy,cro,Croatia,1,2,Round 1 - Group G,N,N,,
2002,2002-06-09,mex,Mexico,ecu,Ecuador,2,1,Round 1 - Group G,N,N,,
2002,2002-06-13,mex,Mexico,ita,Italy,1,1,Round 1 - Group G,N,N,,
2002,2002-06-13,ecu,Ecuador,cro,Croatia,1,0,Round 1 - Group G,N,N,,
2002,2002-06-04,jpn,Japan,bel,Belgium,2,2,Round 1 - Group H,N,N,,
2002,2002-06-05,rus,Russia,tun,Tunisia,2,0,Round 1 - Group H,N,N,,
2002,2002-06-09,jpn,Japan,rus,Russia,1,0,Round 1 - Group H,N,N,,
2002,2002-06-10,tun,Tunisia,bel,Belgium,1,1,Round 1 - Group H,N,N,,
2002,2002-06-14,tun,Tunisia,jpn,Japan,0,2,Round 1 - Group H,N,N,,
2002,2002-06-14,bel,Belgium,rus,Russia,3,2,Round 1 - Group H,N,N,,
2002,2002-06-15,ger,Germany,par,Paraguay,1,0,Round of 16,N,N,,
2002,2002-06-15,den,Denmark,eng,England,0,3,Round of 16,N,N,,
2002,2002-06-16,swe,Sweden,sen,Senegal,1,2,Round of 16,Y,N,,
2002,2002-06-16,esp,Spain,irl,Republic of Ireland,1,1,Round of 16,Y,Y,3,2
2002,2002-06-17,mex,Mexico,usa,United States,0,2,Round of 16,N,N,,
2002,2002-06-17,bra,Brazil,bel,Belgium,2,0,Round of 16,N,N,,
2002,2002-06-18,jpn,Japan,tur,Turkey,0,1,Round of 16,N,N,,
2002,2002-06-18,kor,South Korea,ita,Italy,2,1,Round of 16,Y,N,,
